title,start_year,end_year,genre,rating,votes,plot_summary,run_time,gross,production_type,actors,director
Blood Red Sky,2021,,"['Action', 'Horror', 'Thriller']",6.1,21062,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,121,,,"['Peri Baumeister', 'Carl Anton Koch', 'Alexander Scheer', 'Kais Setti']",['Peter Thorwarth']
Masters of the Universe: Revelation,2021,Ongoing,"['Animation', 'Action', 'Adventure']",5.0,17870,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,25,,Series,"['Chris Wood', 'Sarah Michelle Gellar', 'Lena Headey', 'Mark Hamill']",
The Walking Dead,2010,2022,"['Drama', 'Horror', 'Thriller']",8.2,885805,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,44,,Series,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']",
Rick and Morty,2013,Ongoing,"['Animation', 'Adventure', 'Comedy']",9.2,414849,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,,Series,"['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",
Army of Thieves,2021,,"['Action', 'Crime', 'Horror']",,,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",,,,"['Matthias Schweighöfer', 'Nathalie Emmanuel', 'Ruby O. Fee', 'Stuart Martin']",['Matthias Schweighöfer']
Outer Banks,2020,Ongoing,"['Action', 'Crime', 'Drama']",7.6,25858,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,50,,Series,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Jonathan Daviss']",
The Last Letter from Your Lover,2021,,"['Drama', 'Romance']",6.8,5283,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,110,,,"['Shailene Woodley', 'Joe Alwyn', 'Wendy Nottingham', 'Felicity Jones']",['Augustine Frizzell']
Dexter,2006,2013,"['Crime', 'Drama', 'Mystery']",8.6,665387,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",53,,Series,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar']",
Never Have I Ever,2020,Ongoing,['Comedy'],7.9,34530,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",30,,Series,"['Maitreyi Ramakrishnan', 'Poorna Jagannathan', 'Darren Barnet', 'John McEnroe']",
Virgin River,2019,Ongoing,"['Drama', 'Romance']",7.4,27279,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",44,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Tim Matheson']",
Gunpowder Milkshake,2021,,"['Action', 'Adventure', 'Thriller']",6.0,17989,Three generations of women fight back against those who could take everything from them.,114,,,"['Karen Gillan', 'Lena Headey', 'Carla Gugino', 'Michelle Yeoh']",['Navot Papushado']
Lucifer,2016,2021,"['Crime', 'Drama', 'Fantasy']",8.1,264222,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,42,,Series,"['Tom Ellis', 'Lesley-Ann Brandt', 'Lauren German', 'D.B. Woodside']",
Fear Street: 1994,2021,,"['Drama', 'Horror', 'Mystery']",6.2,50148,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,107,,,"['Kiana Madeira', 'Olivia Scott Welch', 'Benjamin Flores Jr.', 'Julia Rehwald']",['Leigh Janiak']
Sex/Life,2021,Ongoing,"['Comedy', 'Drama', 'Romance']",5.4,12172,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,,,Series,"['Sarah Shahi', 'Mike Vogel', 'Adam Demos', 'Margaret Odette']",
American Horror Story,2011,Ongoing,"['Drama', 'Horror', 'Thriller']",8.0,286488,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",60,,Series,"['Lady Gaga', 'Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",
Grey's Anatomy,2005,Ongoing,"['Drama', 'Romance']",7.5,266258,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,41,,Series,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']",
Breaking Bad,2008,2013,"['Crime', 'Drama', 'Thriller']",9.4,1552311,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,49,,Series,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",
The Good Doctor,2017,Ongoing,['Drama'],8.1,70871,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",41,,Series,"['Freddie Highmore', 'Hill Harper', 'Richard Schiff', 'Antonia Thomas']",
Atypical,2017,2021,"['Comedy', 'Drama']",8.3,71544,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",30,,Series,"['Jennifer Jason Leigh', 'Keir Gilchrist', 'Brigette Lundy-Paine', 'Michael Rapaport']",
Stranger Things,2016,Ongoing,"['Drama', 'Fantasy', 'Horror']",8.7,885856,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",51,,Series,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",
Fear Street: 1978,2021,,"['Drama', 'Horror', 'Mystery']",6.8,36634,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.",109,,,"['Sadie Sink', 'Emily Rudd', 'Ryan Simpkins', 'McCabe Slye']",['Leigh Janiak']
Friends,1994,2004,"['Comedy', 'Romance']",8.9,880918,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,22,,Series,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",
