title,start_year,votes
#AnneFrank - Parallel Stories,2019,1296
#BlackAF,2020,4200
#HappyBirthdaySense8,2017,828
#Realityhigh,2017,5947
#Rucker50,2016,105
#Saraitda,2020,30530
#TemanTapiMenikah,2018,602
#TemanTapiMenikah2,2020,241
#cats_the_mewvie,2020,439
#differentnotless,2017,0
'76,2016,58
(Un)Well,2020,901
1 Chance 2 Dance,2014,544
"1,000,000 yen no Onnatachi",2017,1636
10 000 timmar,2014,953
10 Days in Sun City,2017,58
100 Humans,2020,3456
100 días para enamorarnos,2020,645
100 metros,2016,5856
100% Coco,2017,838
100% Hotter,2016,864
100-man no Inochi no Ue ni Ore wa Tatte Iru,2020,439
101 Dalmatians,1996,106580
12 Monkeys,2015,42021
12 Rounds 3: Lockdown,2015,4021
127 Hours,2010,357144
13 Geboden,2017,2093
13 Reasons Why,2017,283322
13 Reasons Why: Season 2 Date Announcement Commercial,2018,197
13th,2016,33496
13th: A Conversation with Oprah Winfrey & Ava DuVernay,2017,193
15 August,2019,245
17 filles,2011,3140
18 regali,2020,3312
1898. Los últimos de Filipinas,2016,3074
1899,2022,0
1920,2008,3183
1920 London,2016,1599
1922,2017,56699
1983,2018,3882
1994,2019,442
"1994: Poder, Rebeldía y Crimen en México",2019,17
2 Weeks,2013,628
2001: A Space Odyssey,1968,622998
2006 Independent Spirit Awards,2006,83
2020 Golden Globe Awards,2020,703
2067,2020,6977
21 Days Under the Sky,2016,252
21 Sarfarosh Saragarhi 1897,2018,364
21 Thunder,2017,979
22 July,2018,30905
22nd Annual Mark Twain Prize for American Humor celebrating: Dave Chappelle,2020,1715
23:59,2011,903
26 nyeon,2012,1054
2:22,2008,1361
2gether,2020,1276
3 Geezers!,2013,726
3 Türken & ein Baby,2015,1646
3%,2016,22943
300,2006,751815
300: Rise of an Empire,2014,286734
365 dni,2020,63620
37 sekanzu,2019,2345
3Below: Tales of Arcadia,2018,6908
3rd Rock from the Sun,1996,48780
4 latas,2019,2903
44 Gatti,2018,238
45 Revoluciones,2019,426
46 Yok Olan,2016,4079
50M2,2021,5588
6 Balloons,2018,3865
6 Below: Miracle on the Mountain,2017,6916
6 Days,2017,19869
6 Underground,2019,150455
6 Years,2015,12049
6-5=2,2014,182
"60 Il, Jijeongsaengjonja",2019,910
7 Chinese Brothers,2015,1490
7 Days Out,2018,471
7 Guardians of the Tomb,2018,3681
7 Ilui Wangbi,2017,388
7 Prisioneiros,2021,0
7 años,2016,4660
71st Golden Globe Awards,2014,888
72 Dangerous Animals - Asia,2018,455
72 Dangerous Animals: Latin America,2017,475
7:19,2016,605
7Seeds,2019,1857
800 metros,2021,0
8:46,2020,2042
9 Kere Leyla,2020,7092
A 3 Minute Hug,2019,202
A Babysitter's Guide to Monster Hunting,2020,3434
A Boy Called Christmas,2021,0
A California Christmas,2020,6943
A Castle for Christmas,2021,0
A Christmas Prince,2017,17515
A Christmas Prince: The Royal Baby,2019,5594
A Christmas Prince: The Royal Wedding,2018,9527
A Christmas Tree Miracle,2013,769
A Cinderella Story,2004,82876
A Cinderella Story: Christmas Wish,2019,5237
A Classic Horror Story,2021,8822
"A Decade of Decadence, Pt. 2: Legacy of Dreams",2013,50
A Dog's Life: The Oscar Lose Story,2008,0
A Fall from Grace,2020,13360
A Family Reunion Christmas,2019,164
A Faster Horse,2015,656
A Field Full of Secrets,2014,200
A Final Cut for Orson: 40 Years in the Making,2018,218
A Futile and Stupid Gesture,2018,14676
A Garota Invisível,2021,45
A Go! Go! Cory Carson Christmas,2020,37
A Go! Go! Cory Carson Halloween,2020,41
A Haunting at Silver Falls 2,2019,271
A Jazzman's Blues,2022,0
A Killer Uncaged,2020,681
A Little Help with Carol Burnett,2018,224
A Love So Beautiful,2020,522
A Love Song for Latasha,2019,2140
A Love to Last,2017,32
A Madea Homecoming,2022,0
A Man Apart,2003,46040
A Man for All Seasons,1966,32729
A Martfüi Rém - A Sorozat,2020,222
A Million Colours,2011,267
A New York Christmas Wedding,2020,860
A Night for Dying Tigers,2010,408
A Perfect Crime,2020,1210
A Perfect Ending,2012,4044
A Perfect Fit,2021,294
A Plastic Ocean,2016,2770
A Prayer Before Dawn,2017,21815
A Primeira Tentação de Cristo,2019,3267
A Scandall,2016,146
A Second Chance: Rivals!,2019,218
A Secret Love,2020,3816
A Series of Unfortunate Events,2017,55753
A Shaun the Sheep Movie: Farmageddon,2019,12154
A StoryBots Christmas,2017,141
A Suitable Boy,2020,5460
A Taiwanese Tale of Two Cities,2018,150
A Tale Dark & Grimm,2021,0
A Tale of Two Kitchens,2019,251
A Thousand Goodnights,2019,72
A Tiger in the Dark: The Decadence Saga,2014,50
A Toca,2013,13
A Trash Truck Christmas,2020,159
A United Kingdom,2016,15365
A Very Murray Christmas,2015,14605
A Walk to Remember,2002,203383
A Week Away,2021,3565
A Week in Watts,2018,187
A Weekend with the Family,2016,363
A Wish For Christmas,2016,4260
A Year in Burgundy,2013,537
A Year in Space,2015,415
A Yellow Bird,2016,203
A cambio de nada,2015,2347
A mil kilómetros de la Navidad,2021,0
A pesar de todo,2019,4437
A-reu-gon,2017,223
A.I.C.O. Incarnation,2018,1059
A.N.T. Farm,2011,6347
ADN,2020,733
AJ and the Queen,2020,7137
AK vs AK,2020,12797
ARQ,2016,36715
Aakash Gupta Special,2021,0
Aala Kaf Ifrit,2017,1912
Abby Hatcher,2018,133
Abducted in Plain Sight,2017,17078
Abeojiga Isanghae,2017,391
Abla Fahita: Drama Queen,2021,388
Abstract: The Art of Design,2017,5046
Absurd Planet,2020,1349
Abzurdah,2015,1945
Accidentally in Love,2018,933
Accomplice,2021,230
Aci Kiraz,2020,229
Acrimony,2018,8263
Acts of Violence,2018,11683
Ad Vitam,2018,1428
"Ada Twist, Scientist",2021,0
Adam Devine: Best Time of Our Lives,2019,881
Adam Sandler: 100% Fresh,2018,4846
Adel Karam: Live from Beirut,2018,130
Adios Amigos,2016,547
Aditi Mittal: Things They Wouldn't Let Me Say,2017,308
Adult Beginners,2014,8169
Advantageous,2015,5140
Adventure Time,2010,81525
Advokaten,2018,1393
Adú,2020,4416
Aelay,2021,561
Aelliseu,2020,792
Aenggeurimam,2015,440
Aetaneun Romaenseu,2017,2365
Afblijven,2006,2132
Afflicted,2018,1080
Affliction,2021,76
Afonso Padilha: Alma de Pobre,2020,150
Afro Samurai,2007,15625
After Life,2019,102993
After Maria,2019,381
After Porn Ends,2012,7703
After Porn Ends 2,2017,2512
After Porn Ends 3,2018,1551
After Tiller,2013,1046
After Trek,2017,252
After the Raid,2019,105
Afterlife of the Party,2021,0
Aftermath,2021,20
Against the Ice,2021,0
Against the Sun,2014,5503
Age of Samurai: Battle for Japan,2021,4230
Agent,2019,73
Agents of S.H.I.E.L.D.,2013,205119
Aggressive Retsuko,2016,948
Aggretsuko,2018,5196
Aguacate El Fruto Del Cielo,2021,0
Agustín Aristarán: Soy Rada,2018,110
Ahiru no Sora,2019,451
Ahí te Encargo,2020,1101
Ai hui lai,2011,13
Ai-naki mori de sakebe,2019,2147
Ailiseu,2009,1810
Ainori Love Wagon: African Journey,2020,79
Ainori Reboot,2017,0
Ainori: Asian Journey,2017,243
Ajeeb Daastaans,2021,4649
Ajin,2016,5606
Ajji,2017,1016
Akame ga Kill!,2014,19158
Akbar Birbal,2014,125
Akelarre,2020,3610
Akhir Kisah Cinta Si Doel,2020,119
Akjilkyungchal,2019,1768
Al Hayba,2017,982
Al midan,2013,8795
Al posto suo,2020,76
AlRawabi School for Girls,2021,0
Ala Vaikunthapurramuloo,2020,10091
Alan Saldaña: Locked Up,2021,24
Alan Saldaña: Mi vida de pobre,2017,62
Alejandro Riaño: Especial de stand-up,2018,60
Aleksandr's Price,2013,687
Alex,2017,165
Alex Fernández: El mejor comediante del mundo,2020,125
Alex Strangelove,2018,15972
Alexa & Katie,2018,3660
"Alexis Viera, una historia de superación",2019,42
Algoissjiman,2021,472
Alguien tiene que morir,2020,4522
Alhambeura Goongjeonui Chooeok,2018,4367
Ali & the Queens,2021,791
Ali Wong: Baby Cobra,2016,6141
Ali Wong: Hard Knock Wife,2018,4199
Ali's Wedding,2017,4644
Alias Grace,2017,28424
Alice Júnior,2019,448
Alice Through the Looking Glass,2016,98302
Alice in Borderland,2020,28709
Alien Contact: Outer Space,2017,421
Alien Secrets,2006,37
Alien TV,2020,228
Alien Warfare,2019,3185
Alien Worlds,2020,3006
Alien Xmas,2020,997
Aliens on the Moon: The Truth Exposed,2014,993
Aliens: Zone of Silence,2017,523
Alive Inside,2014,3058
All About The Washingtons,2018,653
All Because of You,2020,191
All Day and a Night,2020,3301
All Hail King Julien,2014,1708
All Hail King Julien: Exiled,2017,474
All Hail King Julien: Happy Birthday to You!,2017,7
All Quiet on the Western Front,2022,0
All Together Now,2020,3578
All in My Family,2019,588
All on the Line,2011,44
All the Bright Places,2020,24223
All the Queen's Men,2001,2590
Alles is zoals het zou moeten zijn,2020,665
Alles ist gut,2018,1293
Alles voor elkaar,2017,293
Alma,2021,0
Alma Matters - Inside the IIT Dream,2021,2107
Along Came Jones,1945,1983
"Alors, heureux?",2006,7
Alphablocks,2010,51
Als de dijken breken,2016,778
Alt Love Building,2014,221
Alta mar,2019,7806
Alter Me,2020,53
Altered Carbon,2018,149002
Altered Carbon: Resleeved,2020,5301
Aluna,2012,150
Alvin and the Chipmunks: The Squeakquel,2009,45491
Alvinnn!!! And the Chipmunks,2015,1226
Always Be My Maybe,2019,49867
Aman Ya Sahbi,2017,35
Amanda Knox,2016,22474
Amar,2017,4083
Amar y Vivir,2020,123
Amateur,2018,3972
Amazing Hotels: Life Beyond the Lobby,2017,329
Amazing Interiors,2018,723
Amend: The Fight for America,2021,1084
America: The Motion Picture,2021,4485
American Crime Story,2016,83137
American Experience,1988,235
American Factory,2019,19411
American Factory: A Conversation with the Obamas,2019,261
American Horror Story,2011,286488
American Masters,1985,142
American Murder: The Family Next Door,2020,22404
American Psycho,2000,517014
American Son,2019,6554
American Vandal,2017,28093
American Violence,2017,1727
Amit Tandon: Family Tandoncies,2019,199
Amo,2017,385
Amok,2014,131
Amor con fianza,2021,0
Amor de madre,2022,0
Amy Schumer: Growing,2019,3617
Amy Schumer: The Leather Special,2017,9496
An Act of War,2015,1422
An Affair to Die For,2019,1853
An Interview with God,2018,3470
An lian: Ju sheng huai nan,2019,188
Anatomy of a Love Seen,2014,2487
Anazâ,2012,12437
Ancient Extraterrestrials: Aliens and UFOs Before the Dawn of Time,2012,8
And the Oscar Goes To...,2014,1419
Andes Mágicos,2019,447
Andið eðlilega,2018,2678
André & His Olive Tree,2020,159
Anelka: Misunderstood,2020,2822
Aneun Waipeu,2018,660
Ang probinsyano,2015,179
Angel 'n' Devil,2014,33
Angela's Christmas,2017,2560
Angela's Christmas Wish,2020,1085
Angkeumhan Dolshingnyeo,2014,817
Angry Birds Blues,2017,148
Angry Birds Stella,2014,87
Angry Birds Toons,2013,684
Angry Indian Goddesses,2015,2774
Anima,2019,10114
Animal Crackers,2017,2881
Animal Kingdom,2016,26926
Animales sin collar,2018,455
Animals on the Loose: A You vs. Wild Movie,2021,762
Anitta: Made in Honório,2020,351
Anjaan: Special Crimes Unit,2018,291
Anjelah Johnson: Not Fancy,2015,633
Anne,2017,58055
Annihilation,2018,293459
Annyeong? Naya!,2021,344
Anon,2018,40017
Another Life,2019,25983
Answer for Heaven,2019,9
Anthony Jeselnik: Fire in the Maternity Ward,2019,3157
Anthony Jeselnik: Thoughts and Prayers,2015,4734
Anthony Joshua: The Road to Klitschko,2017,433
Antoine Griezmann: The Making of a Legend,2019,1019
Antologi Rasa,2019,156
Any Day Now,2012,6037
Anytown,2009,367
Ao no ekusoshisuto: Kuro no iede,2011,172
Apache: La vida de Carlos Tevez,2019,1426
Apan,2009,1608
Apenas o Fim,2008,875
Apenstreken,2015,131
Apollo 10 1/2: A Space Age Adventure,2022,0
Apostle,2018,46866
"Aram, Aram",2015,180
Arango y Sanint: Ríase el show,2018,40
Arangsaddojeon,2012,733
Arashi's Diary: Voyage,2019,40
Arbitrage,2012,51051
Arcane,2021,0
Archer,2009,141784
Archibald's Next Big Thing,2019,241
Are You the One?,2014,2061
Ares,2020,3974
Areumdaun Sesang,2019,94
Ari Shaffir: Double Negative,2016,667
"Ariana Grande: Excuse Me, I Love You",2020,2141
Arifureta Shokugyou de Sekai Saikyou,2019,1613
Arlo the Alligator Boy,2021,794
Armed Girl's Machiavellism,2017,205
Army of Thieves,2021,0
Army of the Dead,2021,132378
Army of the Dead: Lost Vegas,2022,0
Arrested Development,2003,284373
Arrival,2016,623912
Arrow,2012,414712
Arsenio Hall: Smart and Classy,2019,412
Art of Flight: The Series,2012,189
Art of the Game: Ukiyo-e Heroes,2017,247
Article 15,2019,26537
Artifact,2012,4555
Aruna & Her Palate,2018,674
As We Sleep,2002,0
Ascension,2014,17926
Aseudal Yeondaegi,2019,4237
Ash vs Evil Dead,2015,67180
Ashby,2015,15197
Ashes of Love,2018,1577
Ashley Garcia: Genius in Love,2020,245
"Ashley Madison: Sex, Lies & Cyber Attacks",2016,339
Ask 101,2020,13050
Ask the Doctor,2017,261
Ask the StoryBots,2016,750
Ask-i Memnu,2008,12276
Asktan Kaçilmaz,2014,46
Asobi Asobase,2018,875
Asperger's Are Us,2016,680
Assassinio sul Tevere,1979,259
Astronomy Club,2019,693
Astérix,2023,0
Asukô mâchi: Asuka kôgyô kôkô monogatari,2011,63
At the Dolphin Bay,2003,29
Atari: Game Over,2014,5762
Ataúd Blanco: El Juego Diabólico,2016,781
Atelier,2015,877
Aterrados,2017,12989
Athlete A,2020,8827
Atlantique,2019,8583
Atomic Blonde,2017,182505
Atone,2019,416
Att angöra en brygga,1965,2403
Att döda ett barn,1953,200
Atypical,2017,71544
Au service de la France,2015,3115
Audible,2021,119
Audrie & Daisy,2016,6227
Aunty Donna's Big Ol' House of Fun,2020,5312
Aurora,2018,554
Autistic Driving School,2010,11
Autohead,2016,373
Autumn,2009,1562
Ava's Possessions,2015,2990
Avatar: The Last Airbender,2005,468998
Avengement,2019,12996
Avicii: True Stories,2017,6482
Avlu,2018,1377
Awake,2021,16262
Awake: The Million Dollar Game,2019,681
Away,2016,2079
Away,2020,22137
Axis Mundi,2022,0
Axone,2019,2026
"Ayotzinapa, El paso de la Tortuga",2018,186
Azali,2018,163
Aziz Ansari Live in Madison Square Garden,2015,3066
Aziz Ansari: Buried Alive,2013,3775
Aziz Ansari: Right Now,2019,4634
Azizler,2021,9497
B: The Beginning,2018,4285
BAC Nord,2020,54
BG: Shinpen keigonin,2018,372
BNA,2020,1893
BORDER2 Shokuzai,2017,154
Babies,2020,661
Babies Behind Bars,2011,110
Baby,2018,10665
Baby Ballroom,2017,169
Baby Driver,2017,468655
Babylon,2014,2142
Back Street Girls,2018,689
Back With the Ex,2018,567
Back to the Outback,2021,0
Backfire,2017,423
Backlash,1956,1530
Backstabbed,2016,502
Bad Blood,2015,402
Bad Blood,2017,8238
Bad Boy,2020,893
Bad Boy Billionaires: India,2020,2687
Bad Day for the Cut,2017,7311
Bad Investigate,2018,651
Bad Papa,2018,101
Bad Samaritans,2013,432
Bad Trip,2021,19931
Badla,2019,24679
Baegabondeu,2019,5333
Baekilui Nanggoonnim,2018,1328
Baggage,2008,373
Baires,2015,197
Bajo la piel de lobo,2017,2744
Bajocero,2021,16022
Bake Squad,2021,0
Baki,2018,5193
Bakugan: Battle Planet,2018,190
Bala,2019,12716
Balle perdue,2020,8228
Bameul geotneun seonbi,2015,792
Ban-deu-si jab-neun-da,2017,2511
Banana Split,2018,2774
Bangistan,2015,1196
Bangkok Breaking,2021,0
Bangkok Buddies,2019,15
Bangkok Love Stories: Hey You,2018,11
Bangkok Love Stories: Innocence,2018,166
Bangkok Love Stories: Objects of Affection,2019,22
Bangkok Love Stories: Plead,2019,43
Bank el-Hazz,2017,826
Bankier van het verzet,2018,8574
Banlieusards,2019,1356
Bap Jal Sajuneun Yeppeun Nuna,2018,4330
Barami Boonda,2019,33
Barangay 143,2018,27
Barbarians,2020,25098
Barbie & Chelsea the Lost Birthday,2021,75
Barbie Dreamhouse Adventures,2018,414
Barbie Princess Adventure,2020,288
"Barbie: Big City, Big Dreams",2021,0
Barbie: Dolphin Magic,2017,619
Barbie: Happy Birthday to You!,2017,8
Barbie: Life in the Dreamhouse,2012,1474
Barbra: The Music... The Mem'ries... The Magic!,2017,416
Bard of Blood,2019,10752
Barry,2016,6821
Bartita,2012,107
Bartkowiak,2021,398
Basilisk: Ouka Ninpouchou,2018,135
Basketball or Nothing,2019,528
Bates Motel,2013,100394
Batman v Superman: Dawn of Justice,2016,657423
Batman: The Movie,1966,30610
Battle,2018,3918
Battle Kitty,2022,0
Battle of Britain,1969,21366
