title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
Masters of the Universe: Revelation,2021,Ongoing,"['Animation', 'Action', 'Adventure']",The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,5.0,17870,25,,Series,"['Chris Wood', 'Sarah Michelle Gellar', 'Lena Headey', 'Mark Hamill']",
The Walking Dead,2010,2022,"['Drama', 'Horror', 'Thriller']",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.2,885805,44,,Series,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']",
Rick and Morty,2013,Ongoing,"['Animation', 'Adventure', 'Comedy']",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,9.2,414849,23,,Series,"['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",
Outer Banks,2020,Ongoing,"['Action', 'Crime', 'Drama']",A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,7.6,25858,50,,Series,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Jonathan Daviss']",
Dexter,2006,2013,"['Crime', 'Drama', 'Mystery']","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",8.6,665387,53,,Series,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar']",
Never Have I Ever,2020,Ongoing,['Comedy'],"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",7.9,34530,30,,Series,"['Maitreyi Ramakrishnan', 'Poorna Jagannathan', 'Darren Barnet', 'John McEnroe']",
Virgin River,2019,Ongoing,"['Drama', 'Romance']","Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",7.4,27279,44,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Tim Matheson']",
Lucifer,2016,2021,"['Crime', 'Drama', 'Fantasy']",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,8.1,264222,42,,Series,"['Tom Ellis', 'Lesley-Ann Brandt', 'Lauren German', 'D.B. Woodside']",
Sex/Life,2021,Ongoing,"['Comedy', 'Drama', 'Romance']",A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,5.4,12172,,,Series,"['Sarah Shahi', 'Mike Vogel', 'Adam Demos', 'Margaret Odette']",
American Horror Story,2011,Ongoing,"['Drama', 'Horror', 'Thriller']","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",8.0,286488,60,,Series,"['Lady Gaga', 'Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",
Grey's Anatomy,2005,Ongoing,"['Drama', 'Romance']",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,7.5,266258,41,,Series,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']",
Breaking Bad,2008,2013,"['Crime', 'Drama', 'Thriller']",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,9.4,1552311,49,,Series,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",
The Good Doctor,2017,Ongoing,['Drama'],"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",8.1,70871,41,,Series,"['Freddie Highmore', 'Hill Harper', 'Richard Schiff', 'Antonia Thomas']",
Atypical,2017,2021,"['Comedy', 'Drama']","Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",8.3,71544,30,,Series,"['Jennifer Jason Leigh', 'Keir Gilchrist', 'Brigette Lundy-Paine', 'Michael Rapaport']",
Stranger Things,2016,Ongoing,"['Drama', 'Fantasy', 'Horror']","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.7,885856,51,,Series,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",
Friends,1994,2004,"['Comedy', 'Romance']",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,8.9,880918,22,,Series,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",
The Flash,2014,Ongoing,"['Action', 'Adventure', 'Drama']","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",7.6,320264,43,,Series,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']",
Peaky Blinders,2013,Ongoing,"['Crime', 'Drama']","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.8,393414,60,,Series,"['Cillian Murphy', 'Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",
He-Man and the Masters of the Universe,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,,,,Series,,
Vikings,2013,2020,"['Action', 'Adventure', 'Drama']","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",8.5,459913,44,,Series,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",
Better Call Saul,2015,Ongoing,"['Crime', 'Drama']","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",8.8,347857,46,,Series,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']",
Supernatural,2005,2020,"['Drama', 'Fantasy', 'Horror']","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",8.4,404273,44,,Series,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']",
The Blacklist,2013,Ongoing,"['Crime', 'Drama', 'Mystery']","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",8.0,213522,43,,Series,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']",
Animal Kingdom,2016,Ongoing,"['Crime', 'Drama']","Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",8.2,26926,60,,Series,"['Shawn Hatosy', 'Ben Robson', 'Jake Weary', 'Finn Cole']",
