title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
#AnneFrank - Parallel Stories,2019,,"['Drama', 'History']","It is based on five women who did survive the Holocaust but shared her same fate of ""deportation, suffering and being denied their childhood and adolescence,"" according to promotional materials.",6.5,1296,92,,,"['Helen Mirren', 'Anne Frank', 'Martina Gatti', 'Arianna Szorenyi']","['Sabina Fedeli', 'Anna Migotto']"
#BlackAF,2020,,['Comedy'],A father takes an irreverent and honest approach to parenting and relationships.,6.8,4200,36,,,"['Rashida Jones', 'Kenya Barris', 'Iman Benson', 'Genneya Walton']",
#HappyBirthdaySense8,2017,,['Short'],,8.9,828,15,,,"['Freema Agyeman', 'Jamie Clayton', 'Tina Desai', 'Bae Doona']",['Josh Oreck']
#Realityhigh,2017,,"['Comedy', 'Drama', 'Romance']","High-achieving high-school senior Dani Barnes dreams of getting into UC Davis, the world's top veterinary school. Then a glamorous new friend draws her into a Southern California scene that threatens everything she's worked for.",5.2,5947,99,,,"['Nesta Cooper', 'Keith Powers', 'Alicia Sanz', 'Jake Borelli']",['Fernando Lebrija']
#Rucker50,2016,,['Documentary'],,5.2,105,56,,,['Inez Dickens'],['Robert McCullough Jr.']
#Saraitda,2020,,"['Action', 'Drama', 'Horror']","The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",6.3,30530,98,,,"['Yoo Ah-in', 'Park Shin-Hye', 'Jeon Bae-soo', 'Hyun-Wook Lee']",['Il Cho']
#TemanTapiMenikah,2018,,"['Biography', 'Comedy', 'Drama']","Ayudia (Vanesha Prescilla) and Ditto (Adipati Dolken) have been best friends for 12 years. And for all those times, Ditto has been secretly in love with her. Until one day, Ayudia told him that she's gonna get married.",6.9,602,102,,,"['Adipati Dolken', 'Vanesha Prescilla', 'Refal Hady', 'Denira Wiraguna']",['Rako Prijanto']
#TemanTapiMenikah2,2020,,"['Biography', 'Comedy', 'Drama']","Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",6.9,241,100,,,"['Adipati Dolken', 'Mawar Eva de Jongh', 'Vonny Cornellya', 'Sari Nila']",['Rako Prijanto']
#cats_the_mewvie,2020,,['Documentary'],It's a 2020 documentary about how cats went from cute text memes to iconic celebrities on YouTube.,5.3,439,90,,,"['Kevin Allocca', 'Phaedra Barratt', 'Amanda Brennan', 'Mike Bridavsky']",['Michael Margolis']
#differentnotless,2017,Ongoing,['Drama'],"The life and experiences of three close friends, one gay, one straight, and one autistic.",,,30,,,,
'76,2016,,"['Drama', 'Romance']","The story is told from two points of view: that of a young pregnant woman, and that of her husband, a soldier accused of being involved in the 1976 military coup and assassination of General Murtala Mohammed, the Head-of-State of Nigeria.",7.2,58,118,,,"['Efetobore Afatakpa', 'Tunde Alabi', 'Bisi Ariyo', 'Preach Bassey']",['Izu Ojukwu']
(Un)Well,2020,Ongoing,['Documentary'],"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",6.4,901,,,,['Jennifer Julian'],
1 Chance 2 Dance,2014,,"['Drama', 'Family']","When a seventeen-year old aspiring dancer is uprooted mid-semester of her senior year, she finds herself in a small East Coast high school where her heart will be divided between two boys, ...",4.8,544,89,,,"['Lexi Giovagnoli', 'Justin Ray', 'Rae Latt', 'Poonam Basu']",['Adam Deyoe']
