title,start_year,end_year,language,run_time,rating,summary,status
Masters of the Universe: Revelation,2021,2021,English,26.0,6.6,"A radical return to Eternia, Masters of the Universe: Revelation is a direct sequel series to the classic era of Masters of the Universe. Featuring fan-favorites He-Man, Orko, Cringer and Man-At-Arms, the story pits our heroic warriors and guardians of Castle Grayskull against Skeletor, Evil-Lyn, Beast Man and the vile legions of snake mountain! But after a ferocious final battle forever fractures Eternia, it's up to Teela to solve the mystery of the missing Sword of Power in a race against time to prevent the end of the Universe! Her journey will uncover the secrets of Grayskull at last. This is the epic He-Man and the Masters of the Universe saga fans have waited 35 years to see!",Ended
The Walking Dead,2010,2022,English,62.0,7.9,"The Walking Dead tells the story of the months and years that follow after a zombie apocalypse. It follows a group of survivors, led by former police officer Rick Grimes, who travel in search of a safe and secure home. As the world overrun by the dead takes its toll on the survivors, their interpersonal conflicts present a greater danger to their continuing survival than the walkers that roam the country. Over time, the characters are changed by the constant exposure to death and some grow willing to do anything to survive.Based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",Ended
Rick and Morty,2013,,English,30.0,8.8,"Rick is a mentally gifted, but sociopathic and alcoholic scientist and a grandfather to Morty; an awkward, impressionable, and somewhat spineless teenage boy. Rick moves into the family home of Morty, where he immediately becomes a bad influence.",Running
Outer Banks,2020,,English,52.0,7.0,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",Running
Dexter,2006,2013,English,60.0,8.4,"He's smart, he's good looking, and he's got a great sense of humor. He's Dexter Morgan, everyone's favorite serial killer. As a Miami forensics expert, he spends his days solving crimes, and nights committing them. But Dexter lives by a strict code of honor that is both his saving grace and lifelong burden. Torn between his deadly compulsion and his desire for true happiness, Dexter is a man in profound conflict with the world and himself.",Ended
Never Have I Ever,2020,2023,English,29.0,7.7,"After a traumatic year, an Indian-American teen just wants to spruce up her social status — but friends, family and feelings won't make it easy on her.",Ended
Virgin River,2019,,English,45.0,7.0,Melinda Monroe answers an ad to work as a nurse practitioner in the remote California town of Virgin River thinking it will be the perfect place to start fresh and leave her painful memories behind. But she soon discovers that small-town living isn't quite as simple as she expected and that she must learn to heal herself before she can truly make Virgin River her home.,Running
Lucifer,2016,2021,English,58.0,8.3,"The Devil has come to Los Angeles…Based upon the characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg for DC Entertainment's Vertigo imprint, Lucifer is the story of the original fallen angel. Bored and unhappy as the Lord of Hell, Lucifer Morningstar has abandoned his throne and retired to L.A., where he owns Lux, an upscale nightclub.Charming, charismatic and devilishly handsome, Lucifer is enjoying his retirement, indulging in a few of his favorite things--wine, women and song-–when a beautiful pop star is brutally murdered outside of Lux. For the first time in roughly 10 billion years, he feels something awaken deep within him as a result of this murder. Compassion? Sympathy? The very thought disturbs him--as well as his best friend and confidante, Mazkeen aka Maze, a fierce demon in the form of a beautiful young woman.",Ended
Sex/Life,2021,2023,English,50.0,5.7,"Sex/Life is the story of a love triangle between a woman, Billie Connelly, her husband, and her past which takes a deliciously steamy new look at female identity and desire.",Ended
American Horror Story,2011,,English,61.0,7.5,"American Horror Story is an horror television anthology series. Each season is conceived as a self-contained miniseries, following a disparate set of characters and settings, and a storyline with its own beginning, middle, and end. While some actors appear for more than one year, they play completely different roles in each season.",Running
