show,year,summary,rating,votes,run_time,actors,director
13 Reasons Why,2017,"The police question Tyler about the guns, leaving the friends rattled. Winston transfers to Liberty High after getting expelled from Hillcrest.",5.7,1798,59,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Russell Mulcahy
13 Reasons Why,2017,"After an incident at school, Clay thinks someone's trying to set him up. Zach and Clay land in hot water during a college tour.",5.7,1597,58,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Russell Mulcahy
13 Reasons Why,2017,Clay is forced to confront his anxiety on the senior camping trip as a suspicious email threatens to turn the friends against each other.,5.1,1714,59,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Michael Sucsy
13 Reasons Why,2017,"In the wake of the lockdown, the school is on edge -- and a troubling abuse of power pushes the students to take action.",6.2,1619,57,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Sunu Gonera
13 Reasons Why,2017,"The Jensens make the boys take a drug test. When the Liberty parents learn about an upcoming party, Clay suspects that they're tracking the students.",6.1,1507,57,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Brenda Strong
13 Reasons Why,2017,"The school goes into lockdown and Clay, Tony and Justin worry about Tyler's whereabouts.",6.6,1694,61,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Brenda Strong
13 Reasons Why,2017,"As the school gears up for the Love Is Love dance on Valentine's Day, disturbing phone calls keep Clay from getting in the spirit.",5.6,1635,59,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Michael Sucsy
13 Reasons Why,2017,Clay's mental health continues to decline as the friends wrestle with difficult emotions during their college admissions interviews.,5.9,1420,60,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Sunu Gonera
13 Reasons Why,2017,"When the dean begins a new investigation and threatens to cancel prom, the friends decide to confide in their parents...but not about everything.",6.8,1640,60,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Tommy Lohmann
13 Reasons Why,2017,"Strengthened by the struggles they've endured, the friends say goodbye to high school and look toward the future in an emotional series finale.",7.7,2312,98,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Brian Yorkey
1899,2022,,,,,"Aneurin Barnard, Anton Lesser, Mathilde Ollivier, Alexandre Willaume",Baran bo Odar
1899,2022,,,,,,Baran bo Odar
