title,start_year,end_year,genre,summary_tvmaze,summary_imdb,rating_tvmaze,rating_imdb,votes,run_time,language,actors,status
Masters of the Universe: Revelation,2021,2021,"Animation, Action, Adventure","A radical return to Eternia, Masters of the Universe: Revelation is a direct sequel series to the classic era of Masters of the Universe. Featuring fan-favorites He-Man, Orko, Cringer and Man-At-Arms, the story pits our heroic warriors and guardians of Castle Grayskull against Skeletor, Evil-Lyn, Beast Man and the vile legions of snake mountain! But after a ferocious final battle forever fractures Eternia, it's up to Teela to solve the mystery of the missing Sword of Power in a race against time to prevent the end of the Universe! Her journey will uncover the secrets of Grayskull at last. This is the epic He-Man and the Masters of the Universe saga fans have waited 35 years to see!",The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,6.6,5.0,17870,25,English,"Chris Wood, Sarah Michelle Gellar, Lena Headey, Mark Hamill",Ended
The Walking Dead,2010,2022,"Drama, Horror, Thriller","The Walking Dead tells the story of the months and years that follow after a zombie apocalypse. It follows a group of survivors, led by former police officer Rick Grimes, who travel in search of a safe and secure home. As the world overrun by the dead takes its toll on the survivors, their interpersonal conflicts present a greater danger to their continuing survival than the walkers that roam the country. Over time, the characters are changed by the constant exposure to death and some grow willing to do anything to survive.Based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,7.9,8.2,885805,44,English,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",Ended
Rick and Morty,2013,,"Animation, Adventure, Comedy","Rick is a mentally gifted, but sociopathic and alcoholic scientist and a grandfather to Morty; an awkward, impressionable, and somewhat spineless teenage boy. Rick moves into the family home of Morty, where he immediately becomes a bad influence.",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,8.8,9.2,414849,23,English,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",Running
Outer Banks,2020,,"Action, Crime, Drama","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,7.0,7.6,25858,50,English,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss",Running
Dexter,2006,2013,"Crime, Drama, Mystery","He's smart, he's good looking, and he's got a great sense of humor. He's Dexter Morgan, everyone's favorite serial killer. As a Miami forensics expert, he spends his days solving crimes, and nights committing them. But Dexter lives by a strict code of honor that is both his saving grace and lifelong burden. Torn between his deadly compulsion and his desire for true happiness, Dexter is a man in profound conflict with the world and himself.","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",8.4,8.6,665387,53,English,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",Ended
Never Have I Ever,2020,2023,Comedy,"After a traumatic year, an Indian-American teen just wants to spruce up her social status — but friends, family and feelings won't make it easy on her.","The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",7.7,7.9,34530,30,English,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe",Ended
Virgin River,2019,,"Drama, Romance",Melinda Monroe answers an ad to work as a nurse practitioner in the remote California town of Virgin River thinking it will be the perfect place to start fresh and leave her painful memories behind. But she soon discovers that small-town living isn't quite as simple as she expected and that she must learn to heal herself before she can truly make Virgin River her home.,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",7.0,7.4,27279,44,English,"Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Tim Matheson",Running
Lucifer,2016,2021,"Crime, Drama, Fantasy","The Devil has come to Los Angeles…Based upon the characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg for DC Entertainment's Vertigo imprint, Lucifer is the story of the original fallen angel. Bored and unhappy as the Lord of Hell, Lucifer Morningstar has abandoned his throne and retired to L.A., where he owns Lux, an upscale nightclub.Charming, charismatic and devilishly handsome, Lucifer is enjoying his retirement, indulging in a few of his favorite things--wine, women and song-–when a beautiful pop star is brutally murdered outside of Lux. For the first time in roughly 10 billion years, he feels something awaken deep within him as a result of this murder. Compassion? Sympathy? The very thought disturbs him--as well as his best friend and confidante, Mazkeen aka Maze, a fierce demon in the form of a beautiful young woman.",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,8.3,8.1,264222,42,English,"Tom Ellis, Lesley-Ann Brandt, Lauren German, D.B. Woodside",Ended
Sex/Life,2021,2023,"Comedy, Drama, Romance","Sex/Life is the story of a love triangle between a woman, Billie Connelly, her husband, and her past which takes a deliciously steamy new look at female identity and desire.",A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,5.7,5.4,12172,47,English,"Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette",Ended
American Horror Story,2011,,"Drama, Horror, Thriller","American Horror Story is an horror television anthology series. Each season is conceived as a self-contained miniseries, following a disparate set of characters and settings, and a storyline with its own beginning, middle, and end. While some actors appear for more than one year, they play completely different roles in each season.","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",7.5,8.0,286488,60,English,"Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson",Running
